case,T_s,x_value,x_units,total_rate,Dgt0_rate,Deq0_rate
PSA0p2,0.2,0.0621709028616,g,0.00849120600562,0.000915916255589,0.00757528975003
PSA0p2,0.2,0.0630375315307,g,0.00847861265388,0.000915914265473,0.00756269838841
PSA0p2,0.2,0.0639162405334,g,0.00846578210864,0.000915912153736,0.0075498699549
PSA0p2,0.2,0.0648071982631,g,0.008452712543,0.00091590991364,0.00753680262936
PSA0p2,0.2,0.0657105754604,g,0.00843940217926,0.000915907538112,0.00752349464115
PSA0p2,0.2,0.0666265452458,g,0.00842584929002,0.000915905019732,0.00750994427029
PSA0p2,0.2,0.0675552831533,g,0.00841205219923,0.000915902350713,0.00749614984852
PSA0p2,0.2,0.0684969671636,g,0.0083980092833,0.000915899522885,0.00748210976041
PSA0p2,0.2,0.0694517777382,g,0.008383718972,0.000915896527681,0.00746782244432
PSA0p2,0.2,0.0704198978545,g,0.00836917974952,0.000915893356116,0.0074532863934
PSA0p2,0.2,0.0714015130401,g,0.00835439015531,0.000915889998769,0.00743850015654
PSA0p2,0.2,0.0723968114091,g,0.00833934878503,0.000915886445762,0.00742346233926
PSA0p2,0.2,0.0734059836976,g,0.00832405429131,0.000915882686743,0.00740817160457
PSA0p2,0.2,0.0744292233004,g,0.00830850538462,0.00091587871086,0.00739262667376
PSA0p2,0.2,0.0754667263084,g,0.00829270083399,0.000915874506739,0.00737682632726
PSA0p2,0.2,0.0765186915457,g,0.00827663946772,0.000915870062461,0.00736076940526
PSA0p2,0.2,0.0775853206079,g,0.00826032017403,0.000915865365536,0.00734445480849
PSA0p2,0.2,0.0786668179007,g,0.00824374190173,0.000915860402877,0.00732788149886
PSA0p2,0.2,0.0797633906793,g,0.00822690366076,0.00091585516077,0.00731104849999
PSA0p2,0.2,0.0808752490877,g,0.00820980452273,0.000915849624847,0.00729395489789
PSA0p2,0.2,0.0820026061993,g,0.00819244362142,0.000915843780052,0.00727659984137
PSA0p2,0.2,0.0831456780577,g,0.00817482015322,0.000915837610609,0.00725898254261
PSA0p2,0.2,0.0843046837179,g,0.00815693337749,0.00091583109999,0.0072411022775
PSA0p2,0.2,0.0854798452884,g,0.00813878261701,0.000915824230872,0.00722295838614
PSA0p2,0.2,0.0866713879739,g,0.00812036725817,0.000915816985105,0.00720455027307
PSA0p2,0.2,0.0878795401182,g,0.00810168675133,0.000915809343664,0.00718587740766
PSA0p2,0.2,0.0891045332482,g,0.00808274061097,0.000915801286611,0.00716693932435
PSA0p2,0.2,0.0903466021181,g,0.0080635284159,0.000915792793046,0.00714773562285
PSA0p2,0.2,0.0916059847544,g,0.0080440498094,0.00091578384106,0.00712826596834
PSA0p2,0.2,0.0928829225017,g,0.00802430449925,0.000915774407678,0.00710853009157
PSA0p2,0.2,0.0941776600687,g,0.00800429225785,0.000915764468812,0.00708852778903
PSA0p2,0.2,0.0954904455752,g,0.00798401292212,0.000915753999196,0.00706825892293
PSA0p2,0.2,0.0968215305997,g,0.00796346639356,0.000915742972328,0.00704772342123
PSA0p2,0.2,0.0981711702275,g,0.00794265263807,0.000915731360402,0.00702692127767
PSA0p2,0.2,0.0995396230998,g,0.00792157168586,0.000915719134241,0.00700585255162
PSA0p2,0.2,0.100927151463,g,0.00790022363129,0.000915706263218,0.00698451736807
PSA0p2,0.2,0.102334021219,g,0.00787860863261,0.000915692715186,0.00696291591742
PSA0p2,0.2,0.103760501977,g,0.00785672691173,0.000915678456387,0.00694104845534
PSA0p2,0.2,0.105206867102,g,0.00783457875393,0.000915663451367,0.00691891530256
PSA0p2,0.2,0.106673393773,g,0.00781216450749,0.000915647662881,0.00689651684461
PSA0p2,0.2,0.108160363031,g,0.00778948458337,0.000915631051798,0.00687385353157
PSA0p2,0.2,0.109668059834,g,0.00776653945469,0.000915613576987,0.00685092587771
PSA0p2,0.2,0.111196773112,g,0.0077433296564,0.000915595195213,0.00682773446118
PSA0p2,0.2,0.112746795824,g,0.00771985578467,0.000915575861014,0.00680427992366
PSA0p2,0.2,0.114318425013,g,0.00769611849644,0.000915555526578,0.00678056296986
PSA0p2,0.2,0.11591196186,g,0.0076721185088,0.000915534141607,0.0067565843672
PSA0p2,0.2,0.117527711746,g,0.00764785659841,0.000915511653176,0.00673234494524
PSA0p2,0.2,0.11916598431,g,0.00762333360084,0.000915488005585,0.00670784559525
PSA0p2,0.2,0.120827093504,g,0.00759855040988,0.000915463140199,0.00668308726968
PSA0p2,0.2,0.12251135766,g,0.00757350797687,0.000915436995281,0.00665807098158
PSA0p2,0.2,0.124219099545,g,0.00754820730988,0.000915409505817,0.00663279780407
PSA0p2,0.2,0.125950646426,g,0.00752264947301,0.000915380603324,0.00660726886968
PSA0p2,0.2,0.127706330131,g,0.00749683558547,0.000915350215656,0.00658148536982
PSA0p2,0.2,0.129486487115,g,0.00747076682082,0.000915318266793,0.00655544855403
PSA0p2,0.2,0.131291458521,g,0.00744444440601,0.000915284676623,0.00652915972938
PSA0p2,0.2,0.13312159025,g,0.00741786962049,0.000915249360706,0.00650262025978
PSA0p2,0.2,0.134977233023,g,0.00739104379527,0.000915212230035,0.00647583156524
PSA0p2,0.2,0.13685874245,g,0.00736396831191,0.000915173190772,0.00644879512114
PSA0p2,0.2,0.138766479098,g,0.0073366446015,0.000915132143983,0.00642151245752
PSA0p2,0.2,0.14070080856,g,0.00730907414361,0.000915088985349,0.00639398515826
PSA0p2,0.2,0.142662101526,g,0.00728125846521,0.000915043604869,0.00636621486034
PSA0p2,0.2,0.144650733852,g,0.00725319913957,0.000914995886547,0.00633820325303
PSA0p2,0.2,0.146667086634,g,0.0072248977851,0.000914945708062,0.00630995207704
PSA0p2,0.2,0.148711546281,g,0.00719635606415,0.000914892940423,0.00628146312373
PSA0p2,0.2,0.150784504586,g,0.00716757568185,0.000914837447612,0.00625273823424
PSA0p2,0.2,0.152886358806,g,0.00713855838483,0.000914779086203,0.00622377929862
PSA0p2,0.2,0.155017511734,g,0.00710930595998,0.000914717704975,0.006194588255
PSA0p2,0.2,0.157178371777,g,0.00707982023314,0.000914653144496,0.00616516708865
PSA0p2,0.2,0.159369353038,g,0.00705010306779,0.000914585236697,0.0061355178311
PSA0p2,0.2,0.16159087539,g,0.00702015636368,0.00091451380443,0.00610564255925
PSA0p2,0.2,0.163843364558,g,0.00698998205546,0.000914438661006,0.00607554339445
PSA0p2,0.2,0.166127252203,g,0.00695958211126,0.00091435960971,0.00604522250155
PSA0p2,0.2,0.168442976004,g,0.00692895853127,0.000914276443307,0.00601468208796
PSA0p2,0.2,0.170790979739,g,0.00689811334628,0.000914188943528,0.00598392440275
PSA0p2,0.2,0.173171713372,g,0.00686704861619,0.000914096880532,0.00595295173566
PSA0p2,0.2,0.175585633141,g,0.00683576642852,0.000914000012357,0.00592176641616
PSA0p2,0.2,0.178033201643,g,0.00680426889684,0.000913898084351,0.00589037081249
PSA0p2,0.2,0.180514887922,g,0.00677255815928,0.000913790828589,0.00585876733069
PSA0p2,0.2,0.183031167562,g,0.0067406363769,0.000913677963264,0.00582695841364
PSA0p2,0.2,0.185582522776,g,0.00670850573215,0.000913559192073,0.00579494654007
PSA0p2,0.2,0.188169442497,g,0.00667616842724,0.00091343420358,0.00576273422366
PSA0p2,0.2,0.190792422477,g,0.00664362668253,0.000913302670565,0.00573032401196
PSA0p2,0.2,0.193451965374,g,0.0066108827349,0.000913164249359,0.00569771848554
PSA0p2,0.2,0.196148580858,g,0.00657793883612,0.000913018579168,0.00566492025695
PSA0p2,0.2,0.198882785699,g,0.00654479725117,0.000912865281376,0.00563193196979
PSA0p2,0.2,0.201655103872,g,0.00651146025661,0.000912703958847,0.00559875629776
PSA0p2,0.2,0.204466066658,g,0.00647793013892,0.000912534195212,0.00556539594371
PSA0p2,0.2,0.20731621274,g,0.00644420919285,0.00091235555414,0.00553185363871
PSA0p2,0.2,0.210206088313,g,0.00641029971975,0.000912167578616,0.00549813214113
PSA0p2,0.2,0.213136247184,g,0.00637620402593,0.000911969790198,0.00546423423573
PSA0p2,0.2,0.216107250881,g,0.00634192442103,0.000911761688282,0.00543016273275
PSA0p2,0.2,0.219119668758,g,0.0063074632164,0.000911542749355,0.00539592046704
PSA0p2,0.2,0.222174078106,g,0.00627282272349,0.000911312426255,0.00536151029723
PSA0p2,0.2,0.225271064265,g,0.00623800525225,0.000911070147427,0.00532693510483
PSA0p2,0.2,0.22841122073,g,0.00620301310964,0.000910815316187,0.00529219779346
PSA0p2,0.2,0.231595149274,g,0.00616784859803,0.000910547309992,0.00525730128804
PSA0p2,0.2,0.234823460055,g,0.00613251401376,0.000910265479715,0.00522224853405
PSA0p2,0.2,0.238096771738,g,0.00609701164568,0.000909969148941,0.00518704249674
PSA0p2,0.2,0.24141571161,g,0.00606134377376,0.000909657613266,0.00515168616049
PSA0p2,0.2,0.244780915704,g,0.00602551266774,0.000909330139625,0.00511618252811
PSA0p2,0.2,0.248193028919,g,0.00598952058583,0.000908985965629,0.0050805346202
PSA0p2,0.2,0.251652705141,g,0.00595336977352,0.000908624298941,0.00504474547457
PSA0p2,0.2,0.255160607373,g,0.00591706246237,0.000908244316664,0.00500881814571
PSA0p2,0.2,0.25871740786,g,0.00588060086898,0.00090784516477,0.00497275570421
PSA0p2,0.2,0.262323788216,g,0.00584398719397,0.000907425957562,0.00493656123641
PSA0p2,0.2,0.265980439559,g,0.00580722362106,0.000906985777171,0.00490023784388
PSA0p2,0.2,0.269688062639,g,0.00577031231624,0.000906523673099,0.00486378864314
PSA0p2,0.2,0.273447367974,g,0.00573325542709,0.000906038661803,0.00482721676529
PSA0p2,0.2,0.277259075986,g,0.00569605508215,0.000905529726335,0.00479052535582
PSA0p2,0.2,0.281123917141,g,0.0056587133904,0.000904995816032,0.00475371757437
