case,x_type,M_center,x_center,epsilon_center,contribution_fraction,contribution_percent
PSA0p2_total,Rrup_km,6.45,4.45,3,0.0001222557867,0.012225579
PSA0p2_total,Rrup_km,6.45,4.45,5,2.913241007e-07,2.913241e-05
PSA0p2_total,Rrup_km,6.55,0.05,1,0.001580906263,0.15809063
PSA0p2_total,Rrup_km,6.55,0.05,3,0.001195357987,0.1195358
PSA0p2_total,Rrup_km,6.55,0.05,5,2.0515238e-06,0.00020515238
PSA0p2_total,Rrup_km,6.55,1.05,1,0.0001405568196,0.014055682
PSA0p2_total,Rrup_km,6.55,1.05,3,0.0001480062441,0.014800624
PSA0p2_total,Rrup_km,6.55,1.05,5,2.564402307e-07,2.5644023e-05
PSA0p2_total,Rrup_km,6.55,1.95,1,0.000667883613,0.066788361
PSA0p2_total,Rrup_km,6.55,1.95,3,0.001180492369,0.11804924
PSA0p2_total,Rrup_km,6.55,1.95,5,2.052598894e-06,0.00020525989
PSA0p2_total,Rrup_km,6.55,2.05,1,8.416764767e-05,0.0084167648
PSA0p2_total,Rrup_km,6.55,2.05,3,0.0001474755386,0.014747554
PSA0p2_total,Rrup_km,6.55,2.05,5,2.564402307e-07,2.5644023e-05
PSA0p2_total,Rrup_km,6.55,2.25,1,7.056585087e-05,0.0070565851
PSA0p2_total,Rrup_km,6.55,2.25,3,0.0001473885537,0.014738855
PSA0p2_total,Rrup_km,6.55,2.25,5,2.565751061e-07,2.5657511e-05
PSA0p2_total,Rrup_km,6.55,2.85,1,3.992918874e-05,0.0039929189
PSA0p2_total,Rrup_km,6.55,2.85,3,0.0001468940104,0.014689401
PSA0p2_total,Rrup_km,6.55,2.85,5,2.565751061e-07,2.5657511e-05
PSA0p2_total,Rrup_km,6.55,3.05,1,3.206507119e-05,0.0032065071
PSA0p2_total,Rrup_km,6.55,3.05,3,0.0001466545576,0.014665456
PSA0p2_total,Rrup_km,6.55,3.05,5,2.564402307e-07,2.5644023e-05
PSA0p2_total,Rrup_km,6.55,3.65,1,1.179583426e-05,0.0011795834
PSA0p2_total,Rrup_km,6.55,3.65,3,0.0001384799334,0.013847993
PSA0p2_total,Rrup_km,6.55,3.65,5,2.565751061e-07,2.5657511e-05
PSA0p2_total,Rrup_km,6.55,4.05,1,5.706335367e-06,0.00057063354
PSA0p2_total,Rrup_km,6.55,4.05,3,0.0001284258492,0.012842585
PSA0p2_total,Rrup_km,6.55,4.05,5,2.564402307e-07,2.5644023e-05
PSA0p2_total,Rrup_km,6.55,4.45,3,0.0001162450336,0.011624503
PSA0p2_total,Rrup_km,6.55,4.45,5,2.565751061e-07,2.5657511e-05
PSA0p2_total,Rrup_km,6.65,0.05,1,0.001566304531,0.15663045
PSA0p2_total,Rrup_km,6.65,0.05,3,0.001092393298,0.10923933
PSA0p2_total,Rrup_km,6.65,0.05,5,1.874524224e-06,0.00018745242
PSA0p2_total,Rrup_km,6.65,1.05,1,0.0001432162114,0.014321621
PSA0p2_total,Rrup_km,6.65,1.05,3,0.000135232172,0.013523217
PSA0p2_total,Rrup_km,6.65,1.05,5,2.343157723e-07,2.3431577e-05
